Week_end,Indicator,High_industry,Value
5/19/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,839.44
5/19/19,Weekly earnings - lower quartile - 20 days,C Services,562.5
5/19/19,Weekly earnings - lower quartile - 20 days,Z No Match,207.39
5/26/19,Number of paid jobs - 20 days,Total,1840800
5/26/19,Number of paid jobs - 20 days,A Primary,77640
5/26/19,Number of paid jobs - 20 days,B Goods Producing,342170
5/26/19,Number of paid jobs - 20 days,C Services,1406540
5/26/19,Number of paid jobs - 20 days,Z No Match,14460
5/26/19,Weekly earnings - median - 20 days,Total,970.8
5/26/19,Weekly earnings - median - 20 days,A Primary,951.84
5/26/19,Weekly earnings - median - 20 days,B Goods Producing,1111.5
5/26/19,Weekly earnings - median - 20 days,C Services,937.1
5/26/19,Weekly earnings - median - 20 days,Z No Match,504.45
5/26/19,Weekly earnings - upper quartile - 20 days,Total,1389.21
5/26/19,Weekly earnings - upper quartile - 20 days,A Primary,1283.85
5/26/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1457.32
5/26/19,Weekly earnings - upper quartile - 20 days,C Services,1377.54
5/26/19,Weekly earnings - upper quartile - 20 days,Z No Match,892.49
5/26/19,Weekly earnings - lower quartile - 20 days,Total,623.36
5/26/19,Weekly earnings - lower quartile - 20 days,A Primary,632.38
5/26/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,840
5/26/19,Weekly earnings - lower quartile - 20 days,C Services,561.99
5/26/19,Weekly earnings - lower quartile - 20 days,Z No Match,205
6/2/19,Number of paid jobs - 20 days,Total,1861190
6/2/19,Number of paid jobs - 20 days,A Primary,77570
6/2/19,Number of paid jobs - 20 days,B Goods Producing,344700
6/2/19,Number of paid jobs - 20 days,C Services,1422480
6/2/19,Number of paid jobs - 20 days,Z No Match,16450
6/2/19,Weekly earnings - median - 20 days,Total,962.5
6/2/19,Weekly earnings - median - 20 days,A Primary,928.85
6/2/19,Weekly earnings - median - 20 days,B Goods Producing,1090.87
6/2/19,Weekly earnings - median - 20 days,C Services,934
6/2/19,Weekly earnings - median - 20 days,Z No Match,523.91
6/2/19,Weekly earnings - upper quartile - 20 days,Total,1379.28
6/2/19,Weekly earnings - upper quartile - 20 days,A Primary,1285
6/2/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1435.29
6/2/19,Weekly earnings - upper quartile - 20 days,C Services,1373.64
6/2/19,Weekly earnings - upper quartile - 20 days,Z No Match,903.78
6/2/19,Weekly earnings - lower quartile - 20 days,Total,616.52
6/2/19,Weekly earnings - lower quartile - 20 days,A Primary,600
6/2/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,828
6/2/19,Weekly earnings - lower quartile - 20 days,C Services,558.67
6/2/19,Weekly earnings - lower quartile - 20 days,Z No Match,215.46
6/9/19,Number of paid jobs - 20 days,Total,1855820
6/9/19,Number of paid jobs - 20 days,A Primary,75510
6/9/19,Number of paid jobs - 20 days,B Goods Producing,344530
6/9/19,Number of paid jobs - 20 days,C Services,1417940
6/9/19,Number of paid jobs - 20 days,Z No Match,17840
6/9/19,Weekly earnings - median - 20 days,Total,978.7
6/9/19,Weekly earnings - median - 20 days,A Primary,944.72
6/9/19,Weekly earnings - median - 20 days,B Goods Producing,1102.76
6/9/19,Weekly earnings - median - 20 days,C Services,950
6/9/19,Weekly earnings - median - 20 days,Z No Match,553.88
6/9/19,Weekly earnings - upper quartile - 20 days,Total,1387.5
6/9/19,Weekly earnings - upper quartile - 20 days,A Primary,1269.24
6/9/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1444
6/9/19,Weekly earnings - upper quartile - 20 days,C Services,1382.21
6/9/19,Weekly earnings - upper quartile - 20 days,Z No Match,928.02
6/9/19,Weekly earnings - lower quartile - 20 days,Total,629.02
6/9/19,Weekly earnings - lower quartile - 20 days,A Primary,620.15
6/9/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,837
6/9/19,Weekly earnings - lower quartile - 20 days,C Services,570.5
6/9/19,Weekly earnings - lower quartile - 20 days,Z No Match,231
6/16/19,Number of paid jobs - 20 days,Total,1851010
6/16/19,Number of paid jobs - 20 days,A Primary,75080
6/16/19,Number of paid jobs - 20 days,B Goods Producing,342580
6/16/19,Number of paid jobs - 20 days,C Services,1414410
6/16/19,Number of paid jobs - 20 days,Z No Match,18930
6/16/19,Weekly earnings - median - 20 days,Total,974.29
6/16/19,Weekly earnings - median - 20 days,A Primary,948.06
6/16/19,Weekly earnings - median - 20 days,B Goods Producing,1107.8
6/16/19,Weekly earnings - median - 20 days,C Services,942.31
6/16/19,Weekly earnings - median - 20 days,Z No Match,562.5
6/16/19,Weekly earnings - upper quartile - 20 days,Total,1384.62
6/16/19,Weekly earnings - upper quartile - 20 days,A Primary,1286.54
6/16/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1452.64
6/16/19,Weekly earnings - upper quartile - 20 days,C Services,1374.5
6/16/19,Weekly earnings - upper quartile - 20 days,Z No Match,945
6/16/19,Weekly earnings - lower quartile - 20 days,Total,625.5
6/16/19,Weekly earnings - lower quartile - 20 days,A Primary,623.59
6/16/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,840
6/16/19,Weekly earnings - lower quartile - 20 days,C Services,566.5
6/16/19,Weekly earnings - lower quartile - 20 days,Z No Match,241.42
6/23/19,Number of paid jobs - 20 days,Total,1847560
6/23/19,Number of paid jobs - 20 days,A Primary,75860
6/23/19,Number of paid jobs - 20 days,B Goods Producing,343250
6/23/19,Number of paid jobs - 20 days,C Services,1407740
6/23/19,Number of paid jobs - 20 days,Z No Match,20710
6/23/19,Weekly earnings - median - 20 days,Total,969.71
6/23/19,Weekly earnings - median - 20 days,A Primary,961.46
6/23/19,Weekly earnings - median - 20 days,B Goods Producing,1107.39
6/23/19,Weekly earnings - median - 20 days,C Services,936
6/23/19,Weekly earnings - median - 20 days,Z No Match,574.53
6/23/19,Weekly earnings - upper quartile - 20 days,Total,1383.75
6/23/19,Weekly earnings - upper quartile - 20 days,A Primary,1297.53
6/23/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1453.12
6/23/19,Weekly earnings - upper quartile - 20 days,C Services,1369.33
6/23/19,Weekly earnings - upper quartile - 20 days,Z No Match,946.1
6/23/19,Weekly earnings - lower quartile - 20 days,Total,622.5
6/23/19,Weekly earnings - lower quartile - 20 days,A Primary,658.7
6/23/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,840
6/23/19,Weekly earnings - lower quartile - 20 days,C Services,561.6
6/23/19,Weekly earnings - lower quartile - 20 days,Z No Match,245.56
6/30/19,Number of paid jobs - 20 days,Total,1851380
6/30/19,Number of paid jobs - 20 days,A Primary,76170
6/30/19,Number of paid jobs - 20 days,B Goods Producing,342220
6/30/19,Number of paid jobs - 20 days,C Services,1410730
6/30/19,Number of paid jobs - 20 days,Z No Match,22260
6/30/19,Weekly earnings - median - 20 days,Total,972.49
6/30/19,Weekly earnings - median - 20 days,A Primary,961.54
6/30/19,Weekly earnings - median - 20 days,B Goods Producing,1106.25
6/30/19,Weekly earnings - median - 20 days,C Services,941.21
6/30/19,Weekly earnings - median - 20 days,Z No Match,561.14
6/30/19,Weekly earnings - upper quartile - 20 days,Total,1387
6/30/19,Weekly earnings - upper quartile - 20 days,A Primary,1296.76
6/30/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1456.3
6/30/19,Weekly earnings - upper quartile - 20 days,C Services,1378.5
6/30/19,Weekly earnings - upper quartile - 20 days,Z No Match,935.99
6/30/19,Weekly earnings - lower quartile - 20 days,Total,626.07
6/30/19,Weekly earnings - lower quartile - 20 days,A Primary,660
6/30/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,838.17
6/30/19,Weekly earnings - lower quartile - 20 days,C Services,569.46
6/30/19,Weekly earnings - lower quartile - 20 days,Z No Match,243.54
7/7/19,Number of paid jobs - 20 days,Total,1848220
7/7/19,Number of paid jobs - 20 days,A Primary,75240
7/7/19,Number of paid jobs - 20 days,B Goods Producing,342960
7/7/19,Number of paid jobs - 20 days,C Services,1411050
7/7/19,Number of paid jobs - 20 days,Z No Match,18970
7/7/19,Weekly earnings - median - 20 days,Total,970.13
7/7/19,Weekly earnings - median - 20 days,A Primary,944.38
7/7/19,Weekly earnings - median - 20 days,B Goods Producing,1095.44
7/7/19,Weekly earnings - median - 20 days,C Services,942.31
7/7/19,Weekly earnings - median - 20 days,Z No Match,556.07
7/7/19,Weekly earnings - upper quartile - 20 days,Total,1385.52
7/7/19,Weekly earnings - upper quartile - 20 days,A Primary,1268.85
7/7/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.31
7/7/19,Weekly earnings - upper quartile - 20 days,C Services,1380
7/7/19,Weekly earnings - upper quartile - 20 days,Z No Match,893.02
7/7/19,Weekly earnings - lower quartile - 20 days,Total,619.5
7/7/19,Weekly earnings - lower quartile - 20 days,A Primary,622.59
7/7/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,826.92
7/7/19,Weekly earnings - lower quartile - 20 days,C Services,562.03
7/7/19,Weekly earnings - lower quartile - 20 days,Z No Match,246
7/14/19,Number of paid jobs - 20 days,Total,1843920
7/14/19,Number of paid jobs - 20 days,A Primary,76380
7/14/19,Number of paid jobs - 20 days,B Goods Producing,341660
7/14/19,Number of paid jobs - 20 days,C Services,1405800
7/14/19,Number of paid jobs - 20 days,Z No Match,20080
7/14/19,Weekly earnings - median - 20 days,Total,977.32
7/14/19,Weekly earnings - median - 20 days,A Primary,958.61
7/14/19,Weekly earnings - median - 20 days,B Goods Producing,1096.15
7/14/19,Weekly earnings - median - 20 days,C Services,950.05
7/14/19,Weekly earnings - median - 20 days,Z No Match,531
7/14/19,Weekly earnings - upper quartile - 20 days,Total,1389.5
7/14/19,Weekly earnings - upper quartile - 20 days,A Primary,1280
7/14/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.31
7/14/19,Weekly earnings - upper quartile - 20 days,C Services,1384.65
7/14/19,Weekly earnings - upper quartile - 20 days,Z No Match,875
7/14/19,Weekly earnings - lower quartile - 20 days,Total,630.44
7/14/19,Weekly earnings - lower quartile - 20 days,A Primary,650.11
7/14/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,829.28
7/14/19,Weekly earnings - lower quartile - 20 days,C Services,576
7/14/19,Weekly earnings - lower quartile - 20 days,Z No Match,237.42
7/21/19,Number of paid jobs - 20 days,Total,1861580
7/21/19,Number of paid jobs - 20 days,A Primary,76080
7/21/19,Number of paid jobs - 20 days,B Goods Producing,342720
7/21/19,Number of paid jobs - 20 days,C Services,1420080
7/21/19,Number of paid jobs - 20 days,Z No Match,22710
7/21/19,Weekly earnings - median - 20 days,Total,974.7
7/21/19,Weekly earnings - median - 20 days,A Primary,944
7/21/19,Weekly earnings - median - 20 days,B Goods Producing,1092
7/21/19,Weekly earnings - median - 20 days,C Services,950
7/21/19,Weekly earnings - median - 20 days,Z No Match,542.06
7/21/19,Weekly earnings - upper quartile - 20 days,Total,1402.5
7/21/19,Weekly earnings - upper quartile - 20 days,A Primary,1261.86
7/21/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442
7/21/19,Weekly earnings - upper quartile - 20 days,C Services,1405.98
7/21/19,Weekly earnings - upper quartile - 20 days,Z No Match,869.68
7/21/19,Weekly earnings - lower quartile - 20 days,Total,623
7/21/19,Weekly earnings - lower quartile - 20 days,A Primary,628.16
7/21/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,825
7/21/19,Weekly earnings - lower quartile - 20 days,C Services,569.75
7/21/19,Weekly earnings - lower quartile - 20 days,Z No Match,264.6
7/28/19,Number of paid jobs - 20 days,Total,1878500
7/28/19,Number of paid jobs - 20 days,A Primary,76940
7/28/19,Number of paid jobs - 20 days,B Goods Producing,343050
7/28/19,Number of paid jobs - 20 days,C Services,1434160
7/28/19,Number of paid jobs - 20 days,Z No Match,24360
7/28/19,Weekly earnings - median - 20 days,Total,980
7/28/19,Weekly earnings - median - 20 days,A Primary,960
7/28/19,Weekly earnings - median - 20 days,B Goods Producing,1100
7/28/19,Weekly earnings - median - 20 days,C Services,953.25
7/28/19,Weekly earnings - median - 20 days,Z No Match,532.96
7/28/19,Weekly earnings - upper quartile - 20 days,Total,1407.16
7/28/19,Weekly earnings - upper quartile - 20 days,A Primary,1281.25
7/28/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1445
7/28/19,Weekly earnings - upper quartile - 20 days,C Services,1410.08
7/28/19,Weekly earnings - upper quartile - 20 days,Z No Match,867.31
7/28/19,Weekly earnings - lower quartile - 20 days,Total,625
7/28/19,Weekly earnings - lower quartile - 20 days,A Primary,646.05
7/28/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,832.5
7/28/19,Weekly earnings - lower quartile - 20 days,C Services,569.57
7/28/19,Weekly earnings - lower quartile - 20 days,Z No Match,210.33
8/4/19,Number of paid jobs - 20 days,Total,1873450
8/4/19,Number of paid jobs - 20 days,A Primary,76940
8/4/19,Number of paid jobs - 20 days,B Goods Producing,343150
8/4/19,Number of paid jobs - 20 days,C Services,1425590
8/4/19,Number of paid jobs - 20 days,Z No Match,27780
8/4/19,Weekly earnings - median - 20 days,Total,975
8/4/19,Weekly earnings - median - 20 days,A Primary,954.32
8/4/19,Weekly earnings - median - 20 days,B Goods Producing,1098.9
8/4/19,Weekly earnings - median - 20 days,C Services,948.02
8/4/19,Weekly earnings - median - 20 days,Z No Match,600.55
8/4/19,Weekly earnings - upper quartile - 20 days,Total,1396.15
8/4/19,Weekly earnings - upper quartile - 20 days,A Primary,1269.22
8/4/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.31
8/4/19,Weekly earnings - upper quartile - 20 days,C Services,1396
8/4/19,Weekly earnings - upper quartile - 20 days,Z No Match,920
8/4/19,Weekly earnings - lower quartile - 20 days,Total,620.71
8/4/19,Weekly earnings - lower quartile - 20 days,A Primary,646.05
8/4/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,831.84
8/4/19,Weekly earnings - lower quartile - 20 days,C Services,564.19
8/4/19,Weekly earnings - lower quartile - 20 days,Z No Match,300
8/11/19,Number of paid jobs - 20 days,Total,1852270
8/11/19,Number of paid jobs - 20 days,A Primary,77740
8/11/19,Number of paid jobs - 20 days,B Goods Producing,342530
8/11/19,Number of paid jobs - 20 days,C Services,1405400
8/11/19,Number of paid jobs - 20 days,Z No Match,26600
8/11/19,Weekly earnings - median - 20 days,Total,972
8/11/19,Weekly earnings - median - 20 days,A Primary,962
8/11/19,Weekly earnings - median - 20 days,B Goods Producing,1100
8/11/19,Weekly earnings - median - 20 days,C Services,942.53
8/11/19,Weekly earnings - median - 20 days,Z No Match,611.92
8/11/19,Weekly earnings - upper quartile - 20 days,Total,1384
8/11/19,Weekly earnings - upper quartile - 20 days,A Primary,1286.5
8/11/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.31
8/11/19,Weekly earnings - upper quartile - 20 days,C Services,1378.5
8/11/19,Weekly earnings - upper quartile - 20 days,Z No Match,920
8/11/19,Weekly earnings - lower quartile - 20 days,Total,622.05
8/11/19,Weekly earnings - lower quartile - 20 days,A Primary,652.24
8/11/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,836.23
8/11/19,Weekly earnings - lower quartile - 20 days,C Services,564.2
8/11/19,Weekly earnings - lower quartile - 20 days,Z No Match,301.12
8/18/19,Number of paid jobs - 20 days,Total,1883740
8/18/19,Number of paid jobs - 20 days,A Primary,77020
8/18/19,Number of paid jobs - 20 days,B Goods Producing,342350
8/18/19,Number of paid jobs - 20 days,C Services,1437210
8/18/19,Number of paid jobs - 20 days,Z No Match,27160
8/18/19,Weekly earnings - median - 20 days,Total,980
8/18/19,Weekly earnings - median - 20 days,A Primary,963.9
8/18/19,Weekly earnings - median - 20 days,B Goods Producing,1105.36
8/18/19,Weekly earnings - median - 20 days,C Services,951.92
8/18/19,Weekly earnings - median - 20 days,Z No Match,580.8
8/18/19,Weekly earnings - upper quartile - 20 days,Total,1395
8/18/19,Weekly earnings - upper quartile - 20 days,A Primary,1276.37
8/18/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1446.11
8/18/19,Weekly earnings - upper quartile - 20 days,C Services,1392.56
8/18/19,Weekly earnings - upper quartile - 20 days,Z No Match,889.2
8/18/19,Weekly earnings - lower quartile - 20 days,Total,625.06
8/18/19,Weekly earnings - lower quartile - 20 days,A Primary,660
8/18/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,840
8/18/19,Weekly earnings - lower quartile - 20 days,C Services,567.81
8/18/19,Weekly earnings - lower quartile - 20 days,Z No Match,298.08
8/25/19,Number of paid jobs - 20 days,Total,1889700
8/25/19,Number of paid jobs - 20 days,A Primary,78600
8/25/19,Number of paid jobs - 20 days,B Goods Producing,342760
8/25/19,Number of paid jobs - 20 days,C Services,1441220
8/25/19,Number of paid jobs - 20 days,Z No Match,27120
8/25/19,Weekly earnings - median - 20 days,Total,973.08
8/25/19,Weekly earnings - median - 20 days,A Primary,970.2
8/25/19,Weekly earnings - median - 20 days,B Goods Producing,1107
8/25/19,Weekly earnings - median - 20 days,C Services,942
8/25/19,Weekly earnings - median - 20 days,Z No Match,594
8/25/19,Weekly earnings - upper quartile - 20 days,Total,1396.18
8/25/19,Weekly earnings - upper quartile - 20 days,A Primary,1304.91
8/25/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1450
8/25/19,Weekly earnings - upper quartile - 20 days,C Services,1390.34
8/25/19,Weekly earnings - upper quartile - 20 days,Z No Match,909.03
8/25/19,Weekly earnings - lower quartile - 20 days,Total,618.38
8/25/19,Weekly earnings - lower quartile - 20 days,A Primary,649.94
8/25/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,840
8/25/19,Weekly earnings - lower quartile - 20 days,C Services,560.43
8/25/19,Weekly earnings - lower quartile - 20 days,Z No Match,285
9/1/19,Number of paid jobs - 20 days,Total,1877380
9/1/19,Number of paid jobs - 20 days,A Primary,78470
9/1/19,Number of paid jobs - 20 days,B Goods Producing,343150
9/1/19,Number of paid jobs - 20 days,C Services,1426340
9/1/19,Number of paid jobs - 20 days,Z No Match,29420
9/1/19,Weekly earnings - median - 20 days,Total,978.08
9/1/19,Weekly earnings - median - 20 days,A Primary,973.73
9/1/19,Weekly earnings - median - 20 days,B Goods Producing,1107
9/1/19,Weekly earnings - median - 20 days,C Services,948
9/1/19,Weekly earnings - median - 20 days,Z No Match,576.92
9/1/19,Weekly earnings - upper quartile - 20 days,Total,1400.5
9/1/19,Weekly earnings - upper quartile - 20 days,A Primary,1304.31
9/1/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1450
9/1/19,Weekly earnings - upper quartile - 20 days,C Services,1400
9/1/19,Weekly earnings - upper quartile - 20 days,Z No Match,900
9/1/19,Weekly earnings - lower quartile - 20 days,Total,620
9/1/19,Weekly earnings - lower quartile - 20 days,A Primary,655.5
9/1/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,840
9/1/19,Weekly earnings - lower quartile - 20 days,C Services,563.57
9/1/19,Weekly earnings - lower quartile - 20 days,Z No Match,285.12
9/8/19,Number of paid jobs - 20 days,Total,1856420
9/8/19,Number of paid jobs - 20 days,A Primary,78870
9/8/19,Number of paid jobs - 20 days,B Goods Producing,343440
9/8/19,Number of paid jobs - 20 days,C Services,1407590
9/8/19,Number of paid jobs - 20 days,Z No Match,26520
9/8/19,Weekly earnings - median - 20 days,Total,981.54
9/8/19,Weekly earnings - median - 20 days,A Primary,961.54
9/8/19,Weekly earnings - median - 20 days,B Goods Producing,1103.36
9/8/19,Weekly earnings - median - 20 days,C Services,957
9/8/19,Weekly earnings - median - 20 days,Z No Match,501.67
9/8/19,Weekly earnings - upper quartile - 20 days,Total,1405
9/8/19,Weekly earnings - upper quartile - 20 days,A Primary,1303.5
9/8/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1447.4
9/8/19,Weekly earnings - upper quartile - 20 days,C Services,1406.55
9/8/19,Weekly earnings - upper quartile - 20 days,Z No Match,825
9/8/19,Weekly earnings - lower quartile - 20 days,Total,623.01
9/8/19,Weekly earnings - lower quartile - 20 days,A Primary,619.98
9/8/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,838.47
9/8/19,Weekly earnings - lower quartile - 20 days,C Services,570.01
9/8/19,Weekly earnings - lower quartile - 20 days,Z No Match,185.78
9/15/19,Number of paid jobs - 20 days,Total,1852980
9/15/19,Number of paid jobs - 20 days,A Primary,76750
9/15/19,Number of paid jobs - 20 days,B Goods Producing,343870
9/15/19,Number of paid jobs - 20 days,C Services,1407230
9/15/19,Number of paid jobs - 20 days,Z No Match,25130
9/15/19,Weekly earnings - median - 20 days,Total,982.35
9/15/19,Weekly earnings - median - 20 days,A Primary,961.54
9/15/19,Weekly earnings - median - 20 days,B Goods Producing,1110.94
9/15/19,Weekly earnings - median - 20 days,C Services,956
9/15/19,Weekly earnings - median - 20 days,Z No Match,446.3
9/15/19,Weekly earnings - upper quartile - 20 days,Total,1408.05
9/15/19,Weekly earnings - upper quartile - 20 days,A Primary,1292.5
9/15/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1457.14
9/15/19,Weekly earnings - upper quartile - 20 days,C Services,1408
9/15/19,Weekly earnings - upper quartile - 20 days,Z No Match,774.05
9/15/19,Weekly earnings - lower quartile - 20 days,Total,619.6
9/15/19,Weekly earnings - lower quartile - 20 days,A Primary,628.35
9/15/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,841.33
9/15/19,Weekly earnings - lower quartile - 20 days,C Services,565.71
9/15/19,Weekly earnings - lower quartile - 20 days,Z No Match,221.25
9/22/19,Number of paid jobs - 20 days,Total,1853970
9/22/19,Number of paid jobs - 20 days,A Primary,75730
9/22/19,Number of paid jobs - 20 days,B Goods Producing,344160
9/22/19,Number of paid jobs - 20 days,C Services,1408970
9/22/19,Number of paid jobs - 20 days,Z No Match,25110
9/22/19,Weekly earnings - median - 20 days,Total,983.23
9/22/19,Weekly earnings - median - 20 days,A Primary,961.54
9/22/19,Weekly earnings - median - 20 days,B Goods Producing,1113.86
9/22/19,Weekly earnings - median - 20 days,C Services,956.99
9/22/19,Weekly earnings - median - 20 days,Z No Match,393.12
9/22/19,Weekly earnings - upper quartile - 20 days,Total,1407.69
9/22/19,Weekly earnings - upper quartile - 20 days,A Primary,1279.75
9/22/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1460
9/22/19,Weekly earnings - upper quartile - 20 days,C Services,1407.25
9/22/19,Weekly earnings - upper quartile - 20 days,Z No Match,734.43
9/22/19,Weekly earnings - lower quartile - 20 days,Total,625
9/22/19,Weekly earnings - lower quartile - 20 days,A Primary,630
9/22/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,845.5
9/22/19,Weekly earnings - lower quartile - 20 days,C Services,571.43
9/22/19,Weekly earnings - lower quartile - 20 days,Z No Match,174.65
9/29/19,Number of paid jobs - 20 days,Total,1841710
9/29/19,Number of paid jobs - 20 days,A Primary,74850
9/29/19,Number of paid jobs - 20 days,B Goods Producing,343820
9/29/19,Number of paid jobs - 20 days,C Services,1397250
9/29/19,Number of paid jobs - 20 days,Z No Match,25790
9/29/19,Weekly earnings - median - 20 days,Total,980
9/29/19,Weekly earnings - median - 20 days,A Primary,951.38
9/29/19,Weekly earnings - median - 20 days,B Goods Producing,1107
9/29/19,Weekly earnings - median - 20 days,C Services,951.56
9/29/19,Weekly earnings - median - 20 days,Z No Match,566.4
9/29/19,Weekly earnings - upper quartile - 20 days,Total,1400
9/29/19,Weekly earnings - upper quartile - 20 days,A Primary,1266.02
9/29/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1452.62
9/29/19,Weekly earnings - upper quartile - 20 days,C Services,1400
9/29/19,Weekly earnings - upper quartile - 20 days,Z No Match,875
9/29/19,Weekly earnings - lower quartile - 20 days,Total,617.03
9/29/19,Weekly earnings - lower quartile - 20 days,A Primary,600
9/29/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,840
9/29/19,Weekly earnings - lower quartile - 20 days,C Services,557.5
9/29/19,Weekly earnings - lower quartile - 20 days,Z No Match,274.35
10/6/19,Number of paid jobs - 20 days,Total,1876640
